"Step","fiery-snowball-4 - SwitchAutoEncoder-0/l2_loss","fiery-snowball-4 - SwitchAutoEncoder-0/l2_loss__MIN","fiery-snowball-4 - SwitchAutoEncoder-0/l2_loss__MAX","fiery-snowball-4 - SwitchAutoEncoder-1/l2_loss","fiery-snowball-4 - SwitchAutoEncoder-1/l2_loss__MIN","fiery-snowball-4 - SwitchAutoEncoder-1/l2_loss__MAX","fanciful-sky-3 - SwitchAutoEncoder-0/l2_loss","fanciful-sky-3 - SwitchAutoEncoder-0/l2_loss__MIN","fanciful-sky-3 - SwitchAutoEncoder-0/l2_loss__MAX","fanciful-sky-3 - SwitchAutoEncoder-1/l2_loss","fanciful-sky-3 - SwitchAutoEncoder-1/l2_loss__MIN","fanciful-sky-3 - SwitchAutoEncoder-1/l2_loss__MAX"
"689","","","","1704.146728515625","1704.146728515625","1704.146728515625","","","","","",""
"693","2391.090087890625","2391.090087890625","2391.090087890625","","","","","","","","",""
"699","","","","1690.884033203125","1690.884033203125","1690.884033203125","","","","","",""
"701","","","","","","","51496.46875","51496.46875","51496.46875","","",""
"702","","","","","","","43365.12109375","43365.12109375","43365.12109375","","",""
"703","","","","1692.39599609375","1692.39599609375","1692.39599609375","","","","","",""
"706","","","","","","","","","","11362.1357421875","11362.1357421875","11362.1357421875"
"713","2314.340087890625","2314.340087890625","2314.340087890625","1668.843994140625","1668.843994140625","1668.843994140625","","","","","",""
"716","2324.240478515625","2324.240478515625","2324.240478515625","","","","","","","","",""
"717","","","","1667.873779296875","1667.873779296875","1667.873779296875","","","","","",""
"719","","","","1687.271484375","1687.271484375","1687.271484375","","","","","",""
"722","","","","1661.1947021484375","1661.1947021484375","1661.1947021484375","","","","","",""
"723","2295.226318359375","2295.226318359375","2295.226318359375","","","","","","","","",""
"727","2296.41748046875","2296.41748046875","2296.41748046875","","","","","","","","",""
"728","","","","","","","40915.74609375","40915.74609375","40915.74609375","","",""
"730","","","","1653.4034423828125","1653.4034423828125","1653.4034423828125","","","","","",""
"731","","","","1648.29296875","1648.29296875","1648.29296875","","","","","",""
"732","2257.9130859375","2257.9130859375","2257.9130859375","","","","","","","","",""
"733","","","","","","","38985.9375","38985.9375","38985.9375","","",""
"735","","","","","","","49594.6875","49594.6875","49594.6875","11637.9267578125","11637.9267578125","11637.9267578125"
"737","","","","","","","51521.8828125","51521.8828125","51521.8828125","","",""
"740","2246.43896484375","2246.43896484375","2246.43896484375","","","","53940.2734375","53940.2734375","53940.2734375","","",""
"741","","","","","","","58907.0390625","58907.0390625","58907.0390625","","",""
"744","","","","","","","54573.6171875","54573.6171875","54573.6171875","","",""
"747","","","","1646.80810546875","1646.80810546875","1646.80810546875","","","","","",""
"752","","","","","","","48545.046875","48545.046875","48545.046875","","",""
"755","","","","1636.170654296875","1636.170654296875","1636.170654296875","","","","","",""
"756","","","","","","","","","","10448.421875","10448.421875","10448.421875"
"760","","","","","","","49344.546875","49344.546875","49344.546875","","",""
"763","","","","1638.634765625","1638.634765625","1638.634765625","","","","10100.685546875","10100.685546875","10100.685546875"
"764","2184.1943359375","2184.1943359375","2184.1943359375","","","","","","","","",""
"766","","","","1628.8023681640625","1628.8023681640625","1628.8023681640625","48336.1171875","48336.1171875","48336.1171875","","",""
"770","2179.566162109375","2179.566162109375","2179.566162109375","","","","","","","","",""
"771","","","","1622.8095703125","1622.8095703125","1622.8095703125","","","","","",""
"774","2175.51123046875","2175.51123046875","2175.51123046875","","","","48640.2734375","48640.2734375","48640.2734375","9766.2197265625","9766.2197265625","9766.2197265625"
"778","","","","1631.2811279296875","1631.2811279296875","1631.2811279296875","","","","","",""
"780","","","","","","","","","","9071.0771484375","9071.0771484375","9071.0771484375"
"781","","","","1627.9755859375","1627.9755859375","1627.9755859375","","","","","",""
"789","","","","","","","43168.7265625","43168.7265625","43168.7265625","","",""
"792","2119.211669921875","2119.211669921875","2119.211669921875","","","","","","","","",""
"795","","","","","","","45312.69140625","45312.69140625","45312.69140625","","",""
"799","","","","1627.3258056640625","1627.3258056640625","1627.3258056640625","","","","","",""
"800","","","","1633.52978515625","1633.52978515625","1633.52978515625","","","","","",""
"805","","","","","","","41101.00390625","41101.00390625","41101.00390625","","",""
"806","","","","","","","45454.0078125","45454.0078125","45454.0078125","","",""
"807","","","","1617.6572265625","1617.6572265625","1617.6572265625","","","","","",""
"810","","","","","","","47090.06640625","47090.06640625","47090.06640625","","",""
"813","","","","1615.8994140625","1615.8994140625","1615.8994140625","38771.40625","38771.40625","38771.40625","","",""
